CDCIA_USUARIA;DSCIA_USUARIA;NIT_COMPANIA;DSTIPO_ACTIVIDAD
294;TIBA LOGISTICS S.A.S.;900.752.441-6;INDUSTRIAL DE SERVICIOS
296;ACOFOR ZONA FRANCA S.A.S.;900.780.774-2;INDUSTRIAL DE SERVICIOS
297;BT ZONA FRANCA S.A.S.;900.405.688-0;INDUSTRIAL DE SERVICIOS
3;MULTAINERS ANDINA S.A.S;901.154.896-1;INDUSTRIAL DE BIENES
300;MELYAK INTERNATIONAL SERVICES S.A.S;900.813.951-3;INDUSTRIAL DE SERVICIOS
4;INTERPLAST OVERSEAS COLOMBIA LTD;830.047.743-8;INDUSTRIAL DE BIENES
5;MEGA LOGISTICS SOLUTIONS S.A.S.;830.081.708-3;INDUSTRIAL DE SERVICIOS
501;FEPCO ZONA FRANCA S.A.S.;830.001.114-7;INDUSTRIAL DE BIENES
505;MANUFACTURERA MUNDIAL FARMACEUTICA;830.064.580-6;INDUSTRIAL DE BIENES
506;INTERNATIONAL HR CORPORATION ZF SAS;830.086.277-3;INDUSTRIAL DE BIENES
511;DISENOS Y MODELOS PRAGA SAS;860.502.422-1;INDUSTRIAL DE BIENES
513;GOLDEN FLEX S.A;830.071.515-6;INDUSTRIAL DE BIENES
519;CORPORACION DE LA INDUSTRIA AERONAU;899.999.278-1;INDUSTRIAL DE BIENES
521;SAFE COMERCIAL ZONA FRANCA S.A.S.;830.105.100-1;INDUSTRIAL DE SERVICIOS
523;COMP. GRAL DE ALIMENTOS Y CONSERVAS;860.050.222-2;INDUSTRIAL DE BIENES
527;POLIMES S.A.S.;830.125.479-2;INDUSTRIAL DE BIENES
530;CADALI S.A.S.;901.334.438-4;INDUSTRIAL DE BIENES
531;LABORATORIOS SFC LTDA;830.001.242-1;INDUSTRIAL DE BIENES
538;COMET ZONA FRANCA S.A.S.;830.145.675-5;INDUSTRIAL DE BIENES
542;GLOBALOG ZONA FRANCA LTDA;900.024.216-2;INDUSTRIAL DE SERVICIOS
543;INDUSTRIAS DANIA COLOMBIA S.A.S.;900.028.894-4;INDUSTRIAL DE SERVICIOS
547;DECOWRAPS COLOMBIA S.A.S;901.383.488-1;INDUSTRIAL DE BIENES
550;TEXTILERO ZONA FRANCA S.A.S.;901.331.642-7;INDUSTRIAL DE SERVICIOS
551;DELTACOMGROUP INGENIERIA ANDINA S.A;901.122.395-6;INDUSTRIAL DE BIENES Y SERVICIOS
552;DESARROLLADORA DE ZONAS FRANCAS SA;900.086.745-2;INDUSTRIAL DE SERVICIOS
554;ECCEL CORPORATION S.A.S.;900.067.373-5;INDUSTRIAL DE BIENES
560;ALUSUD EMBALAJES COLOMBIA LTDA;800.156.635-9;INDUSTRIAL DE BIENES
566;LATINOTEX FREE ZONE LTDA;900.098.589-1;INDUSTRIAL DE BIENES
567;INTERNATIONAL DEPOT AEROSPACE S.A.S;901338632;INDUSTRIAL DE BIENES Y SERVICIOS
568;LOGIMAT S.A.S.;830.103.877-6;INDUSTRIAL DE SERVICIOS
574;JANUS LTDA;900.163.861-9;INDUSTRIAL DE SERVICIOS
575;SUPER INTEGRATOR LTDA;900.148.460-6;INDUSTRIAL DE SERVICIOS
576;NEXXT LOGISTICS S.A. NEXLOG S.A.;900.173.054-4;INDUSTRIAL DE BIENES
577;TRANSFORMACION ENSAMBLE Y LOGISTICA;900.169.696-7;INDUSTRIAL DE SERVICIOS
578;TECHNOLOGISTICS ZF S.A.S.;900.185.919-1;INDUSTRIAL DE BIENES
579;DINATECH MOBILE SAS;900.213.087-1;INDUSTRIAL DE SERVICIOS
584;MAQTEC ZONA FRANCA S.A.S.;900.304.918-6;INDUSTRIAL DE SERVICIOS
587;SAT AMERICA S.A.S.;900.282.680-2;INDUSTRIAL DE BIENES
591;AIR CARRIER INDUSTRIAL ZONA FRANCA;900.294.986-2;INDUSTRIAL DE SERVICIOS
596;BRUECKNER COLOMBIA S.A.S.;900.340.930-8;INDUSTRIAL DE SERVICIOS
597;PHARMAQUILA S.A.S.;900.306.776-6;INDUSTRIAL DE SERVICIOS
599;CLEVER COSMETICS S.A.S.;900.367.809-1;INDUSTRIAL DE BIENES Y SERVICIOS
600;COMPUMAX LOGISTIC ZONA FRANCA S.A.S;900.371.918-1;INDUSTRIAL DE SERVICIOS
602;BIKAR S.A.S.;900.423.650-8;INDUSTRIAL DE SERVICIOS
603;ALKHORAYEF ZONA FRANCA S.A.S.;900.454.399-6;INDUSTRIAL DE BIENES
607;GM CARGO S.A.S.;900.603.968-7;INDUSTRIAL DE SERVICIOS
610;TIBA LOGISTICA COLOMBIA S.A.S.;900.673.921-0;INDUSTRIAL DE SERVICIOS
613;PHIBO CAD CAM COLOMBIA S.A.S.;900.837.527-7;INDUSTRIAL DE BIENES
614;CRS AMERICA S.A.S.;900.951.187-3;INDUSTRIAL DE BIENES
615;NEWREST CATERING COLOMBIA S.A.S ZF;900.960.881-5;INDUSTRIAL DE BIENES
616;ESMERALDAS DE LOS ANDES S.A.S.;900.904.162-1;INDUSTRIAL DE BIENES
617;SNS ZONA FRANCA INDUSTRIAL SAS;900.996.525-3;INDUSTRIAL DE SERVICIOS
619;UKKO SERVICES FTZ S.A.S.;900.936.312-5;INDUSTRIAL DE SERVICIOS
620;MANUFACTURING AND GLOBAL TRADING;901.101.218-0;INDUSTRIAL DE BIENES
621;DESARROLLADORA ZONAS FRANCAS OIKOS;900.086.745-2;INDUSTRIAL DE BIENES
623;COLOMBIAN IMAGING TECHNOLOGIES SAS;901.245.628-5;INDUSTRIAL DE BIENES
624;QUICK FREE ZONE S.A.S.;901.244.097-1;INDUSTRIAL DE SERVICIOS
625;DELIFOOD Y FROZEN GROUP ZONA FRANCA;901368775;INDUSTRIAL DE BIENES
626;MEDICAL CARE COLOMBIA S.A.S.;901.381.497-9;INDUSTRIAL DE BIENES Y SERVICIOS
627;ZETTA COMPLEX OPERATION SAS;901.358.113-1;INDUSTRIAL DE BIENES Y SERVICIOS
628;EUREKA PHARMACEUTICALS OPERADORA ZO;901559407;INDUSTRIAL DE BIENES Y SERVICIOS
7;FIBERTEX CORPORATION;830.061.178-4;INDUSTRIAL DE BIENES
703;PRACO DIDACOL SAS;860.047.657-1;COMERCIALES
705;NALSANI S.A.S.;800.020.706-9;COMERCIALES
706;LOGISTICA ZONA FRANCA S.A.;830.031.361-8;COMERCIALES
710;TRADING AND TECHNICAL SERVICES LTDA;830.069.570-5;COMERCIALES
711;ALMACENES MAXIMO S.A.S.;860.045.854-7;COMERCIALES
719;ALMAVIVA S.A;860.002.153-8;COMERCIALES
723;ALCOMEX S.A.;800.188.557-1;COMERCIALES
724;SKY ELECTRONICS ZONA FRANCA S.A.S.;830.040.767-2;COMERCIALES
728;REPRESENTACIONES DEL MUNDO S.A.S.;860.079.024-7;COMERCIALES
747;DAGA S.A;860.516.314-3;COMERCIALES
749;STANTON S.A.S.;860.009.034-1;COMERCIALES
750;MEGA FREE ZONE LTDA;830.066.910-2;COMERCIALES
755;SPEED TRANSPORT LOGISTIC ZF BOGOTA;830.110.558-0;COMERCIALES
761;BLU LOGISTICS COLOMBIA S.A.S.;830.008.524-5;COMERCIALES
762;DECOWRAPS COMERCIAL S.A.S.;901.242.588-5;COMERCIALES
763;ALPOPULAR;860.020.382-4;COMERCIALES
768;UNIWORLD EXPRESS COUSTOMS LTDA;800.216.890-9;COMERCIALES
769;UPS SCS COLOMBIA LTDA;830.085.087-6;COMERCIALES
790;MELYAK INTERNATIONAL SAS;830.089.174-7;COMERCIALES
793;ANDES SERVICIOS COMERCIALES;830.140.118-1;COMERCIALES
795;ABC WORLD PACK ZONA FRANCA LTDA;830.140.255-2;COMERCIALES
801;GLOBALOG S.A.;815.002.882-5;COMERCIALES
805;SENCINET LATAM COLOMBIA S.A.;800.255.754-1;COMERCIALES
808;GREEN CARGO DE COLOMBIA ZONA FRANCA;830.142.672-1;COMERCIALES
811;ALC ZONA FRANCA LTDA;830.514.476-1;COMERCIALES
813;STILOTEX S.A.S.;800.167.919-2;COMERCIALES
817;DAIMLER COLOMBIA S.A.;830.044.266-2;COMERCIALES
822;MERCO CARGO S.A.;802.017.106-6;COMERCIALES
836;LOGISFASHION S.A.S.;900.821.925-5;COMERCIALES
837;PENN ELCOM DE COLOMBIA S.A.S.;901.130.769-0;COMERCIALES
838;RESEARCH PHARMACEUTICAL S.A.;830.039.775-1;COMERCIALES
839;ZALT S.A.S.;901.235.816-0;COMERCIALES
840;KODO TRADE Y COMMERCE SAS;900.875.693-3;COMERCIALES
841;SERVICIOS INGENIERIA COMERCIO Y LOG;830.136.280-1;COMERCIALES
9;CHALVER ZONA FRANCA S.A.S.;830.037.582-6;INDUSTRIAL DE BIENES
